Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
53,3.587786,1.984733,0.778626,-0.599976,0.131592,0.779419,0,0,0
56,3.572519,1.984733,0.931298,-0.603027,0.133301,0.784668,0,0,0
59,3.526718,1.923664,1.236641,-0.603638,0.130371,0.787842,0,0,0
62,3.648855,1.908397,1.175573,-0.604614,0.129761,0.785156,0,0,0
65,3.633588,1.954198,1.251908,-0.606812,0.129639,0.788696,0,0,0
68,3.664122,1.954198,1.267176,-0.605713,0.130615,0.787964,0,0,0
71,3.618321,1.908397,1.29771,-0.605103,0.129517,0.789551,0,0,0
74,3.633588,1.923664,1.267176,-0.601562,0.129395,0.789307,0,0,0
77,3.541985,1.89313,1.221374,-0.605591,0.129517,0.787842,0,0,0
80,3.557252,1.938931,1.221374,-0.607178,0.130371,0.78894,0,0,0
83,3.496183,1.923664,1.175573,-0.60498,0.128418,0.787354,0,0,0
86,3.450382,1.816794,1.389313,-0.606445,0.13208,0.789307,0,0,0
89,3.435115,1.740458,1.236641,-0.603271,0.130005,0.78833,0,0,0
92,3.328244,1.755725,1.175573,-0.601196,0.130737,0.786377,0,0,0
95,3.19084,2.015267,1.129771,-0.597778,0.128418,0.789917,0,0,0
98,3.038168,1.740458,0.916031,-0.600952,0.129395,0.783813,0,0,0
101,2.80916,1.648855,0.717557,-0.600586,0.13147,0.783203,0,0,0
104,2.656489,1.725191,0.70229,-0.597412,0.129883,0.78479,0,0,0
107,2.549618,1.603053,0.442748,-0.602783,0.130859,0.784668,0,0,0
110,2.335878,1.450382,0.305344,-0.602173,0.12793,0.789307,0,0,0
113,2.061069,1.328244,0.229008,-0.600464,0.132568,0.788086,0,0,0
116,1.908397,1.343511,-0.076336,-0.605469,0.128418,0.784912,0,0,0
119,1.923664,1.328244,-0.045802,-0.61145,0.131226,0.783691,0,0,0
122,2.045802,1.374046,-0.21374,-0.608154,0.125732,0.785156,0,0,0
125,2.015267,1.435115,-0.244275,-0.608276,0.12793,0.787964,0,0,0
128,2.015267,1.450382,-0.259542,-0.607788,0.12793,0.786865,0,0,0
131,2.198473,1.541985,-0.412214,-0.610229,0.126099,0.793335,0,0,0
134,2.167939,1.480916,-0.564885,-0.614502,0.130127,0.79126,0,0,0
137,2.122137,1.40458,-0.580153,-0.614868,0.132935,0.790894,0,0,0
140,2.076336,1.419847,-0.885496,-0.616089,0.133301,0.789185,0,0,0
143,2.030534,1.40458,-0.824427,-0.617798,0.141113,0.7948,0,0,0
146,1.755725,1.358779,-0.824427,-0.617676,0.146118,0.789429,0,0,0
149,1.633588,1.480916,-0.778626,-0.619629,0.145752,0.792358,0,0,0
152,1.496183,1.358779,-0.717557,-0.622192,0.155273,0.788818,0,0,0
155,1.007634,1.435115,-0.564885,-0.619629,0.156616,0.788452,0,0,0
158,0.641221,1.389313,-0.381679,-0.618774,0.160156,0.789062,0,0,0
161,0.427481,1.328244,-0.21374,-0.621338,0.161133,0.790527,0,0,0
164,0.10687,1.19084,0,-0.620728,0.159912,0.789429,0,0,0
167,-0.305344,1.129771,0.229008,-0.623901,0.1604,0.78772,0,0,0
170,-0.473282,1.068702,0.412214,-0.627075,0.157593,0.787842,0,0,0
