Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
53,0.305344,6.671756,3.587786,-0.909912,0.056152,0.405029,0,0,0
56,0.412214,6.839695,3.78626,-0.908691,0.054321,0.405884,0,0,0
59,0.641221,7.007634,3.862595,-0.907959,0.054199,0.405762,0,0,0
62,0.748092,7.206107,3.89313,-0.906494,0.054321,0.403809,0,0,0
65,0.854962,7.29771,3.908397,-0.90918,0.055664,0.402222,0,0,0
68,0.763359,7.450382,4.045802,-0.911621,0.057495,0.398926,0,0,0
71,1.099237,7.496183,4.076336,-0.911133,0.056763,0.402344,0,0,0
74,0.870229,7.541985,3.89313,-0.90979,0.059082,0.399902,0,0,0
77,0.916031,7.648855,3.969466,-0.911377,0.059326,0.404297,0,0,0
80,1.038168,7.618321,3.938931,-0.910278,0.060669,0.401611,0,0,0
83,1.038168,7.679389,3.954198,-0.913696,0.061401,0.398682,0,0,0
86,1.022901,7.603053,3.816794,-0.914551,0.061646,0.402832,0,0,0
89,1.175573,7.725191,3.633588,-0.907349,0.06189,0.400757,0,0,0
92,1.022901,7.78626,3.679389,-0.912231,0.05957,0.401123,0,0,0
95,1.129771,7.587786,3.526718,-0.912109,0.059082,0.401733,0,0,0
98,0.977099,7.618321,3.328244,-0.914185,0.062866,0.400024,0,0,0
101,0.931298,7.572519,3.236641,-0.912109,0.05957,0.402466,0,0,0
104,0.977099,7.557252,3.206107,-0.910645,0.065063,0.400635,0,0,0
107,1.022901,7.541985,3.099237,-0.912354,0.061401,0.401733,0,0,0
110,1.19084,7.541985,2.839695,-0.913452,0.059448,0.396973,0,0,0
113,1.022901,7.29771,2.80916,-0.911865,0.061035,0.400269,0,0,0
116,1.068702,7.129771,2.687023,-0.914551,0.066528,0.39624,0,0,0
119,0.885496,7.19084,2.48855,-0.909912,0.062988,0.398193,0,0,0
122,0.793893,6.946565,2.290076,-0.912109,0.060303,0.401733,0,0,0
125,0.839695,6.732824,2.137405,-0.911133,0.061035,0.398682,0,0,0
128,0.839695,6.625954,2.10687,-0.909668,0.058838,0.397827,0,0,0
131,0.977099,6.412214,2.045802,-0.911987,0.056519,0.398804,0,0,0
134,1.068702,6.396947,2.076336,-0.911011,0.059937,0.402222,0,0,0
137,1.19084,6.427481,2.122137,-0.908691,0.056396,0.400879,0,0,0
140,1.358779,6.351145,2.122137,-0.913452,0.05896,0.400635,0,0,0
143,1.557252,6.381679,2.091603,-0.9104,0.057617,0.400513,0,0,0
146,1.679389,6.244275,1.954198,-0.90918,0.058228,0.402832,0,0,0
149,1.618321,6.274809,2.091603,-0.911499,0.060547,0.402466,0,0,0
152,1.832061,6.152672,1.862595,-0.9104,0.062012,0.402222,0,0,0
155,1.633588,6.061069,1.78626,-0.909424,0.062622,0.401123,0,0,0
158,1.78626,6.076336,1.633588,-0.916016,0.061646,0.407227,0,0,0
