Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
53,0.80916,4.671756,1.206107,-0.678101,0.011353,0.726562,0,0,0
56,1.007634,4.717557,1.709924,-0.674805,0.016235,0.731079,0,0,0
59,1.206107,4.80916,2.015267,-0.678467,0.016724,0.732178,0,0,0
62,1.557252,4.961832,2.198473,-0.678345,0.013916,0.731567,0,0,0
65,1.908397,5.175573,2.656489,-0.674927,0.011719,0.730835,0,0,0
68,2.305344,5.328244,2.977099,-0.678101,0.0177,0.733154,0,0,0
71,2.641221,5.389313,3.236641,-0.67749,0.016357,0.736206,0,0,0
74,2.916031,5.679389,3.526718,-0.678467,0.021362,0.73999,0,0,0
77,3.099237,5.78626,3.679389,-0.678101,0.021973,0.736572,0,0,0
80,3.29771,6.015267,4,-0.676758,0.016846,0.735474,0,0,0
83,3.526718,6.21374,4.21374,-0.677002,0.018188,0.737183,0,0,0
86,3.770992,6.274809,4.671756,-0.678711,0.01709,0.738647,0,0,0
89,4.122137,6.335878,4.916031,-0.680908,0.015747,0.735229,0,0,0
92,4.549618,6.610687,5.29771,-0.67749,0.016479,0.733643,0,0,0
95,4.732824,6.870229,5.648855,-0.677124,0.020874,0.736328,0,0,0
98,5.129771,6.931298,5.862595,-0.680908,0.021606,0.733521,0,0,0
101,5.053435,7.099237,6.030534,-0.67688,0.025269,0.736328,0,0,0
104,5.175573,7.145038,6.198473,-0.678955,0.025391,0.734253,0,0,0
107,5.358779,7.236641,6.167939,-0.678711,0.028198,0.734009,0,0,0
110,5.251908,7.160305,6.091603,-0.679688,0.031372,0.733521,0,0,0
113,5.19084,7.251908,6.152672,-0.678955,0.030029,0.729126,0,0,0
116,4.854962,7.221374,6.030534,-0.678467,0.02771,0.734741,0,0,0
119,5.068702,7.19084,6.061069,-0.681763,0.032593,0.731567,0,0,0
122,4.870229,7.206107,6.015267,-0.684814,0.027954,0.733032,0,0,0
125,5.068702,7.160305,6.137405,-0.682861,0.027954,0.729248,0,0,0
128,5.206107,7.221374,6.045802,-0.683716,0.027222,0.733521,0,0,0
131,5.099237,7.114504,6.10687,-0.682983,0.024902,0.72876,0,0,0
134,5.19084,6.946565,6.045802,-0.686523,0.026367,0.730713,0,0,0
137,5.450382,6.854962,6.030534,-0.683228,0.030518,0.727417,0,0,0
140,5.267176,6.717557,5.877863,-0.685303,0.036499,0.725464,0,0,0
143,5.145038,6.59542,5.740458,-0.687256,0.033813,0.72876,0,0,0
146,5.022901,6.458015,5.603053,-0.686646,0.035034,0.730469,0,0,0
149,4.961832,6.351145,5.343511,-0.684692,0.036011,0.727539,0,0,0
152,4.534351,6.152672,5.175573,-0.682983,0.037964,0.728516,0,0,0
155,4.396947,5.984733,4.80916,-0.683716,0.033569,0.722534,0,0,0
158,4.198473,6.030534,4.610687,-0.684937,0.033813,0.723145,0,0,0
161,3.984733,5.648855,4.519084,-0.684326,0.034302,0.724365,0,0,0
164,4.167939,5.648855,4.259542,-0.684326,0.034912,0.726807,0,0,0
167,4,5.40458,4,-0.684204,0.035645,0.726929,0,0,0
170,3.78626,5.206107,3.923664,-0.688477,0.039185,0.731689,0,0,0
173,3.572519,5.053435,3.526718,-0.686157,0.04187,0.728027,0,0,0
176,3.022901,4.824427,3.267176,-0.688232,0.046875,0.727783,0,0,0
179,2.641221,4.580153,2.946565,-0.689575,0.045166,0.722168,0,0,0
182,2.366412,4.503817,2.564885,-0.689453,0.045532,0.72168,0,0,0
185,1.847328,4.167939,2.229008,-0.687012,0.045288,0.720459,0,0,0
188,1.374046,3.847328,1.755725,-0.690308,0.04541,0.724609,0,0,0
191,1.129771,3.526718,1.312977,-0.689819,0.038208,0.726318,0,0,0
194,0.717557,3.40458,1.114504,-0.69165,0.040161,0.72583,0,0,0
197,0.610687,2.992366,0.900763,-0.693481,0.037598,0.725586,0,0,0
200,0.442748,2.793893,0.564885,-0.695679,0.038208,0.724854,0,0,0
203,0.259542,2.625954,0.351145,-0.695068,0.041138,0.720459,0,0,0
206,0.122137,2.396947,0.10687,-0.693359,0.038696,0.72229,0,0,0
209,-0.229008,2.259542,-0.076336,-0.693848,0.035889,0.721191,0,0,0
212,-0.183206,1.954198,-0.198473,-0.689697,0.038452,0.720215,0,0,0
215,-0.458015,1.755725,-0.351145,-0.68811,0.036377,0.719727,0,0,0
218,-0.274809,1.541985,-0.503817,-0.686035,0.034912,0.719604,0,0,0
221,-0.259542,1.221374,-0.610687,-0.689575,0.0354,0.71936,0,0,0
224,-0.625954,1.022901,-0.793893,-0.689209,0.038818,0.716431,0,0,0
227,-0.824427,0.748092,-0.931298,-0.685181,0.035522,0.721558,0,0,0
230,-0.992366,0.564885,-1.328244,-0.687012,0.03833,0.718994,0,0,0
233,-1.221374,0.229008,-1.343511,-0.685913,0.03772,0.718872,0,0,0
236,-1.465649,0.076336,-1.465649,-0.690186,0.038086,0.721802,0,0,0
239,-1.587786,-0.320611,-1.78626,-0.689941,0.037842,0.723145,0,0,0
242,-1.770992,-0.59542,-1.938931,-0.691528,0.035156,0.726196,0,0,0
245,-1.755725,-0.748092,-2.21374,-0.692261,0.037476,0.723511,0,0,0
248,-2.198473,-0.992366,-2.183206,-0.692261,0.032837,0.722778,0,0,0
251,-2.137405,-1.236641,-2.259542,-0.694336,0.030273,0.723755,0,0,0
254,-2.122137,-1.389313,-2.167939,-0.696167,0.026978,0.72522,0,0,0
1,-1.908397,-1.557252,-2.366412,-0.69165,0.027588,0.724854,0,0,0
4,-1.694656,-1.78626,-2.122137,-0.693481,0.024414,0.724487,0,0,0
7,-1.496183,-1.801527,-2.274809,-0.693237,0.030029,0.72644,0,0,0
10,-1.389313,-2.198473,-2.167939,-0.694336,0.028564,0.724609,0,0,0
13,-1.419847,-2.396947,-2.015267,-0.69043,0.033203,0.7229,0,0,0
16,-1.206107,-2.519084,-2.091603,-0.692261,0.030151,0.725342,0,0,0
19,-1.29771,-2.671756,-2.167939,-0.689697,0.031128,0.723755,0,0,0
22,-1.343511,-2.839695,-2.198473,-0.6875,0.033325,0.719971,0,0,0
25,-1.419847,-3.099237,-2.335878,-0.69043,0.029785,0.721558,0,0,0
28,-1.496183,-3.236641,-2.229008,-0.689819,0.029419,0.724365,0,0,0
31,-1.19084,-3.435115,-2.305344,-0.688599,0.027588,0.719482,0,0,0
34,-1.114504,-3.557252,-2.198473,-0.687378,0.026855,0.722534,0,0,0
37,-0.961832,-3.679389,-2.137405,-0.68811,0.028076,0.725464,0,0,0
40,-0.824427,-3.801527,-2.076336,-0.691284,0.028809,0.725708,0,0,0
43,-0.717557,-3.847328,-2.061069,-0.690552,0.025635,0.726929,0,0,0
46,-0.641221,-3.984733,-1.984733,-0.684814,0.023438,0.726562,0,0,0
49,-0.427481,-4.137405,-1.740458,-0.686279,0.026367,0.72937,0,0,0
52,-0.183206,-4.320611,-1.755725,-0.686646,0.025635,0.729004,0,0,0
55,-0.21374,-4.198473,-1.740458,-0.686157,0.026367,0.726318,0,0,0
58,-0.015267,-4.427481,-1.541985,-0.685547,0.027954,0.727173,0,0,0
61,0.152672,-4.427481,-1.496183,-0.689941,0.029175,0.730835,0,0,0
64,0.412214,-4.549618,-1.541985,-0.687744,0.031738,0.729004,0,0,0
67,0.10687,-4.549618,-1.435115,-0.681641,0.031128,0.729492,0,0,0
70,0.198473,-4.717557,-1.465649,-0.687622,0.03186,0.732666,0,0,0
73,0.076336,-4.70229,-1.358779,-0.680542,0.029907,0.729004,0,0,0
76,0.015267,-4.732824,-1.221374,-0.682129,0.025391,0.729614,0,0,0
79,0.274809,-4.717557,-1.114504,-0.678223,0.023193,0.732666,0,0,0
82,0.59542,-4.778626,-1.007634,-0.681519,0.020264,0.7323,0,0,0
85,0.977099,-4.778626,-0.732824,-0.682861,0.022339,0.730957,0,0,0
88,1.358779,-4.778626,-0.244275,-0.681152,0.022827,0.733398,0,0,0
91,1.557252,-4.80916,-0.167939,-0.678467,0.027588,0.730591,0,0,0
94,1.541985,-4.824427,-0.091603,-0.678955,0.034302,0.729004,0,0,0
97,1.374046,-4.885496,0.137405,-0.678955,0.031494,0.730591,0,0,0
100,1.450382,-4.916031,-0.137405,-0.67688,0.033691,0.730957,0,0,0
103,0.992366,-4.824427,-0.137405,-0.679077,0.032715,0.733521,0,0,0
106,1.022901,-4.70229,-0.10687,-0.67981,0.030396,0.732544,0,0,0
