Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
53,-8.916031,2.381679,-8.961832,-0.814453,0.086182,0.569458,0,0,0
56,-8.610687,2,-8.458015,-0.814453,0.085083,0.566772,0,0,0
59,-8.015267,1.633588,-7.679389,-0.816895,0.084961,0.570801,0,0,0
62,-7.435115,1.465649,-7.114504,-0.814575,0.087524,0.568237,0,0,0
65,-7.068702,1.206107,-6.580153,-0.811035,0.088257,0.567383,0,0,0
68,-6.824427,0.992366,-6.198473,-0.812378,0.089966,0.572021,0,0,0
71,-6.335878,0.80916,-5.694656,-0.81189,0.09082,0.57251,0,0,0
74,-6.015267,0.732824,-5.267176,-0.810913,0.09021,0.574585,0,0,0
77,-5.816794,0.580153,-5.083969,-0.812256,0.090698,0.57666,0,0,0
80,-5.587786,0.427481,-4.687023,-0.810669,0.094604,0.575562,0,0,0
83,-5.557252,0.290076,-4.473282,-0.810059,0.094482,0.575317,0,0,0
86,-5.419847,0.10687,-4.21374,-0.807495,0.09375,0.577637,0,0,0
89,-5.114504,0.10687,-4,-0.80835,0.091797,0.575073,0,0,0
92,-5.022901,0.10687,-3.78626,-0.809326,0.09314,0.575562,0,0,0
95,-4.778626,-0.137405,-3.572519,-0.809082,0.092651,0.576782,0,0,0
98,-4.778626,-0.244275,-3.145038,-0.807129,0.09082,0.57605,0,0,0
101,-4.335878,-0.320611,-2.748092,-0.807739,0.08728,0.574829,0,0,0
104,-4.167939,-0.442748,-2.396947,-0.808838,0.085938,0.574707,0,0,0
107,-3.389313,-0.748092,-2.015267,-0.810425,0.081543,0.572754,0,0,0
110,-2.732824,-0.977099,-1.374046,-0.812378,0.077759,0.576782,0,0,0
113,-1.801527,-1.29771,-0.763359,-0.814453,0.079712,0.577271,0,0,0
116,-0.931298,-1.374046,-0.320611,-0.812378,0.080688,0.578003,0,0,0
119,-0.366412,-1.51145,0.183206,-0.80957,0.082764,0.578247,0,0,0
122,0.21374,-1.740458,0.458015,-0.807617,0.088867,0.57959,0,0,0
125,0.48855,-1.862595,0.824427,-0.809937,0.090454,0.5802,0,0,0
128,0.80916,-1.877863,1.038168,-0.809326,0.09375,0.579712,0,0,0
131,0.870229,-2.061069,1.160305,-0.80481,0.095093,0.581665,0,0,0
134,0.931298,-2.015267,1.267176,-0.806519,0.096436,0.580811,0,0,0
137,1.145038,-2.030534,1.435115,-0.804077,0.0896,0.57959,0,0,0
140,1.633588,-2.10687,1.725191,-0.806763,0.089111,0.578735,0,0,0
143,2.045802,-2.21374,2.076336,-0.803833,0.08606,0.581055,0,0,0
146,2.748092,-2.137405,2.381679,-0.805908,0.085205,0.583862,0,0,0
149,3.160305,-2.137405,2.717557,-0.803955,0.090576,0.583374,0,0,0
152,3.603053,-1.969466,2.977099,-0.802979,0.092163,0.582642,0,0,0
155,3.633588,-1.908397,3.175573,-0.802368,0.094727,0.586792,0,0,0
158,4.015267,-1.709924,3.374046,-0.800171,0.094971,0.586182,0,0,0
161,4,-1.633588,3.648855,-0.804321,0.096436,0.585327,0,0,0
164,4.21374,-1.435115,3.740458,-0.804688,0.096802,0.583862,0,0,0
167,4.381679,-1.129771,3.89313,-0.802124,0.093872,0.589844,0,0,0
170,4.320611,-0.870229,4,-0.802246,0.098267,0.586426,0,0,0
173,4.366412,-0.717557,4.10687,-0.79895,0.096436,0.58728,0,0,0
176,4.458015,-0.503817,4.366412,-0.800415,0.094849,0.587891,0,0,0
179,4.656489,-0.183206,4.396947,-0.798706,0.095825,0.587158,0,0,0
182,4.900763,0.045802,4.59542,-0.802734,0.09375,0.589111,0,0,0
185,5.053435,0.396947,4.80916,-0.802124,0.094116,0.586792,0,0,0
188,5.175573,0.610687,5.053435,-0.805054,0.09314,0.586914,0,0,0
191,5.389313,0.946565,5.312977,-0.804199,0.094849,0.585327,0,0,0
194,5.801527,1.175573,5.419847,-0.800537,0.095947,0.58374,0,0,0
197,5.877863,1.480916,5.587786,-0.803101,0.09729,0.586792,0,0,0
200,5.984733,1.801527,5.801527,-0.803223,0.097168,0.585571,0,0,0
203,6.167939,2.045802,6.10687,-0.802979,0.095703,0.585815,0,0,0
206,6.458015,2.427481,6.167939,-0.801758,0.097534,0.589355,0,0,0
209,6.458015,2.641221,6.534351,-0.801147,0.096558,0.585449,0,0,0
212,6.687023,3.114504,6.549618,-0.799561,0.09436,0.5896,0,0,0
215,6.80916,3.374046,7.053435,-0.799927,0.099121,0.585693,0,0,0
218,6.916031,3.755725,7.053435,-0.798096,0.099609,0.583984,0,0,0
