Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
50,-0.167939,4.030534,-0.610687,-0.638428,0.015869,0.762329,0,0,0
53,-0.335878,3.770992,-0.59542,-0.646118,0.010376,0.762695,0,0,0
56,-0.244275,3.664122,-0.59542,-0.641846,0.007935,0.761719,0,0,0
59,-0.137405,3.648855,-0.671756,-0.641968,0.007935,0.763916,0,0,0
62,-0.10687,3.450382,-0.473282,-0.64209,0.005127,0.76062,0,0,0
65,0.305344,3.419847,-0.412214,-0.641113,0.003906,0.760254,0,0,0
68,0.519084,3.206107,-0.305344,-0.643188,0.004272,0.761963,0,0,0
71,0.564885,3.083969,-0.198473,-0.640381,0.004395,0.763672,0,0,0
74,0.900763,2.916031,-0.152672,-0.642334,0.006592,0.759155,0,0,0
77,1.022901,2.854962,-0.137405,-0.641357,0.008667,0.760742,0,0,0
80,1.022901,2.732824,-0.152672,-0.643188,0.010986,0.759644,0,0,0
83,0.900763,2.320611,0,-0.640747,0.011963,0.759033,0,0,0
86,0.885496,2.381679,0,-0.638794,0.00769,0.758911,0,0,0
89,0.793893,2.122137,-0.030534,-0.641235,0.008789,0.756714,0,0,0
92,0.885496,2.10687,-0.076336,-0.6427,0.009399,0.759277,0,0,0
95,0.778626,1.725191,0.015267,-0.641113,0.011719,0.757202,0,0,0
98,0.70229,1.51145,-0.030534,-0.64563,0.013428,0.756348,0,0,0
101,0.671756,1.251908,-0.045802,-0.644043,0.008301,0.756104,0,0,0
104,0.854962,1.083969,0.061069,-0.644165,0.009277,0.761475,0,0,0
107,0.916031,0.824427,0.061069,-0.643677,0.005737,0.761597,0,0,0
110,1.129771,0.671756,0.244275,-0.641235,0.003052,0.758545,0,0,0
113,1.282443,0.351145,0.229008,-0.643188,0.005615,0.755127,0,0,0
116,1.343511,0,0.259542,-0.643677,0.007935,0.759033,0,0,0
119,1.389313,-0.259542,0.396947,-0.646729,0.005127,0.758789,0,0,0
122,1.587786,-0.503817,0.442748,-0.64978,0.007812,0.758423,0,0,0
125,1.740458,-0.732824,0.48855,-0.643677,0.006104,0.759888,0,0,0
128,1.694656,-1.129771,0.778626,-0.646484,0.007935,0.757202,0,0,0
131,1.954198,-1.435115,0.824427,-0.643066,0.007324,0.758545,0,0,0
134,2.122137,-1.679389,0.80916,-0.647461,0.004883,0.75769,0,0,0
137,2.167939,-1.847328,0.916031,-0.644043,0.005493,0.757568,0,0,0
140,2.458015,-2.167939,0.977099,-0.643311,0.00647,0.760132,0,0,0
143,2.656489,-2.290076,0.992366,-0.641968,0.010132,0.757568,0,0,0
146,2.442748,-2.580153,1.038168,-0.640869,0.012085,0.759033,0,0,0
149,2.458015,-2.687023,0.992366,-0.642456,0.01062,0.759155,0,0,0
152,2.351145,-2.80916,1.053435,-0.640381,0.009521,0.759155,0,0,0
155,2.396947,-2.931298,1.068702,-0.642578,0.011353,0.759766,0,0,0
158,2.641221,-3.099237,1.251908,-0.640625,0.00708,0.760132,0,0,0
161,2.793893,-3.099237,1.251908,-0.637451,0.005005,0.758301,0,0,0
164,3.038168,-3.129771,1.358779,-0.639648,0.008911,0.761719,0,0,0
167,2.854962,-3.145038,1.526718,-0.640747,0.013306,0.763062,0,0,0
170,3.129771,-3.251908,1.633588,-0.637695,0.009033,0.762695,0,0,0
173,3.206107,-3.221374,1.725191,-0.638062,0.006836,0.763916,0,0,0
176,3.251908,-3.358779,1.862595,-0.641479,0.008789,0.762695,0,0,0
179,3.587786,-3.496183,2.167939,-0.639282,0.011353,0.763794,0,0,0
182,3.374046,-3.419847,2.045802,-0.636597,0.016113,0.762695,0,0,0
185,3.099237,-3.389313,1.969466,-0.637939,0.020996,0.763184,0,0,0
188,2.870229,-3.221374,1.862595,-0.639526,0.016357,0.763306,0,0,0
191,2.687023,-3.282443,1.816794,-0.637817,0.01709,0.766479,0,0,0
194,2.473282,-3.374046,1.984733,-0.638672,0.010498,0.763428,0,0,0
197,2.793893,-3.374046,2.061069,-0.634155,0.011597,0.766357,0,0,0
200,2.671756,-3.236641,2.030534,-0.639648,0.015991,0.766724,0,0,0
203,2.564885,-3.251908,2.091603,-0.637085,0.014038,0.765381,0,0,0
206,2.473282,-3.19084,2.061069,-0.638672,0.013672,0.763672,0,0,0
209,2.351145,-3.251908,2.061069,-0.636475,0.01709,0.765991,0,0,0
212,2.259542,-3.129771,2.137405,-0.637451,0.01355,0.766113,0,0,0
215,2.137405,-3.083969,2.061069,-0.63623,0.015503,0.763672,0,0,0
218,2.10687,-3.114504,2.030534,-0.63623,0.014038,0.766235,0,0,0
221,2,-3.114504,1.877863,-0.63501,0.011841,0.763062,0,0,0
224,1.908397,-3.160305,1.984733,-0.636597,0.012207,0.761475,0,0,0
227,2.137405,-3.29771,1.78626,-0.637695,0.012695,0.765747,0,0,0
230,2.137405,-3.40458,1.938931,-0.639282,0.011963,0.765991,0,0,0
233,2.274809,-3.40458,1.89313,-0.640991,0.015381,0.768311,0,0,0
236,2.152672,-3.51145,1.923664,-0.638916,0.01416,0.765137,0,0,0
239,2.244275,-3.496183,1.877863,-0.640015,0.013916,0.764038,0,0,0
242,2.21374,-3.587786,1.847328,-0.640015,0.016113,0.766846,0,0,0
245,2.030534,-3.603053,1.618321,-0.642578,0.017944,0.764282,0,0,0
248,1.740458,-3.78626,1.664122,-0.635498,0.018921,0.764404,0,0,0
251,1.526718,-3.847328,1.618321,-0.639038,0.020874,0.764282,0,0,0
254,1.328244,-3.938931,1.358779,-0.641113,0.013672,0.765625,0,0,0
1,1.160305,-4.167939,1.221374,-0.641602,0.016357,0.761597,0,0,0
4,1.221374,-4.366412,1.145038,-0.640503,0.01416,0.761841,0,0,0
7,1.038168,-4.473282,1.19084,-0.64209,0.013672,0.76355,0,0,0
10,0.824427,-4.671756,1.129771,-0.642578,0.01355,0.761108,0,0,0
13,0.885496,-4.763359,0.931298,-0.640991,0.0177,0.766113,0,0,0
16,0.778626,-4.916031,0.839695,-0.639404,0.013916,0.762451,0,0,0
19,0.641221,-5.099237,0.931298,-0.638184,0.012939,0.766113,0,0,0
22,0.549618,-5.19084,0.870229,-0.63623,0.011841,0.765015,0,0,0
25,0.656489,-5.312977,0.900763,-0.641724,0.010498,0.76709,0,0,0
28,0.977099,-5.328244,0.870229,-0.637939,0.011841,0.765991,0,0,0
31,0.916031,-5.480916,0.961832,-0.637939,0.02063,0.766968,0,0,0
34,0.80916,-5.541985,0.717557,-0.637939,0.021484,0.764282,0,0,0
37,0.427481,-5.694656,0.763359,-0.637695,0.023071,0.766602,0,0,0
40,0.015267,-5.648855,0.48855,-0.638306,0.018677,0.766968,0,0,0
43,-0.274809,-5.847328,0.610687,-0.639282,0.015259,0.769531,0,0,0
46,-0.183206,-5.755725,0.564885,-0.637085,0.009521,0.771729,0,0,0
49,-0.198473,-5.816794,0.641221,-0.635864,0.012329,0.770874,0,0,0
52,0.122137,-5.694656,0.610687,-0.633789,0.012329,0.769043,0,0,0
55,0.305344,-5.618321,0.656489,-0.636475,0.015381,0.769775,0,0,0
58,0.244275,-5.572519,0.580153,-0.635498,0.016479,0.770508,0,0,0
61,0.045802,-5.465649,0.687023,-0.63501,0.014404,0.775024,0,0,0
64,0.030534,-5.40458,0.549618,-0.635986,0.013306,0.772583,0,0,0
67,0.076336,-5.267176,0.763359,-0.63501,0.008911,0.772705,0,0,0
70,0.305344,-5.312977,0.778626,-0.634155,0.011353,0.770386,0,0,0
73,0.458015,-5.145038,0.854962,-0.632446,0.013672,0.7677,0,0,0
76,0.335878,-5.175573,0.748092,-0.632446,0.015015,0.77417,0,0,0
79,0.381679,-5.129771,0.580153,-0.631958,0.014893,0.769897,0,0,0
82,0.335878,-5.068702,0.732824,-0.633179,0.013916,0.770752,0,0,0
85,0.473282,-5.007634,0.687023,-0.632568,0.013672,0.769531,0,0,0
88,0.442748,-4.931298,0.534351,-0.633911,0.011597,0.775146,0,0,0
91,0.442748,-4.854962,0.625954,-0.634766,0.013794,0.775269,0,0,0
94,0.458015,-4.641221,0.564885,-0.63269,0.018921,0.771729,0,0,0
97,0.229008,-4.458015,0.519084,-0.632446,0.018188,0.774292,0,0,0
100,0.351145,-4.305344,0.549618,-0.629883,0.012085,0.770996,0,0,0
103,0.503817,-4.259542,0.549618,-0.631958,0.011841,0.774902,0,0,0
106,0.519084,-4.061069,0.503817,-0.629395,0.011841,0.770996,0,0,0
109,0.458015,-3.78626,0.580153,-0.631226,0.014404,0.775879,0,0,0
112,0.534351,-3.541985,0.381679,-0.632935,0.01709,0.776489,0,0,0
115,0.412214,-3.40458,0.503817,-0.627075,0.016479,0.77478,0,0,0
118,0.274809,-3.29771,0.610687,-0.63208,0.012329,0.7771,0,0,0
121,0.396947,-3.099237,0.534351,-0.630371,0.010742,0.778564,0,0,0
124,0.59542,-2.900763,0.641221,-0.637085,0.009521,0.774292,0,0,0
127,0.687023,-2.839695,0.580153,-0.632446,0.011475,0.777954,0,0,0
130,0.854962,-2.656489,0.671756,-0.629883,0.010254,0.778809,0,0,0
133,1.038168,-2.519084,0.748092,-0.631592,0.011719,0.775513,0,0,0
136,1.175573,-2.473282,0.763359,-0.630371,0.010132,0.773193,0,0,0
139,1.40458,-2.244275,0.839695,-0.632446,0.009521,0.775879,0,0,0
142,1.29771,-2.274809,1.038168,-0.628662,0.014404,0.772461,0,0,0
145,1.526718,-2.091603,1.038168,-0.630981,0.015625,0.774536,0,0,0
148,1.709924,-2.183206,1.160305,-0.63269,0.009644,0.774048,0,0,0
151,1.679389,-2.015267,1.129771,-0.629761,0.011841,0.776733,0,0,0
154,1.984733,-1.984733,1.129771,-0.629395,0.016235,0.774414,0,0,0
157,1.725191,-1.954198,1.114504,-0.636719,0.015015,0.771973,0,0,0
160,1.603053,-1.938931,1.083969,-0.633423,0.013306,0.773926,0,0,0
163,1.740458,-1.847328,1.038168,-0.631226,0.014404,0.775269,0,0,0
166,1.603053,-1.923664,1.160305,-0.631592,0.013794,0.777344,0,0,0
169,2.076336,-1.89313,1.145038,-0.63208,0.014038,0.775391,0,0,0
172,1.954198,-1.89313,1.328244,-0.63208,0.009033,0.774658,0,0,0
175,1.938931,-1.908397,1.282443,-0.63147,0.011597,0.773438,0,0,0
178,2.167939,-1.923664,1.358779,-0.633423,0.013428,0.771606,0,0,0
181,2.259542,-1.954198,1.450382,-0.635498,0.013306,0.774902,0,0,0
184,2.183206,-1.938931,1.450382,-0.632446,0.016968,0.77063,0,0,0
187,2.259542,-1.89313,1.419847,-0.632935,0.019287,0.772339,0,0,0
190,2.045802,-1.938931,1.312977,-0.635254,0.021362,0.770386,0,0,0
193,1.89313,-2.015267,1.19084,-0.637207,0.01709,0.770264,0,0,0
196,1.984733,-2.244275,1.282443,-0.635742,0.014648,0.769653,0,0,0
199,1.938931,-2.259542,1.221374,-0.636475,0.016968,0.771484,0,0,0
202,1.923664,-2.427481,1.160305,-0.635742,0.015381,0.771606,0,0,0
205,1.862595,-2.717557,1.022901,-0.633057,0.016724,0.771729,0,0,0
208,1.740458,-2.778626,0.961832,-0.635864,0.019165,0.768066,0,0,0
211,1.725191,-2.961832,0.870229,-0.634888,0.019165,0.772461,0,0,0
214,1.526718,-3.114504,0.839695,-0.637329,0.018799,0.773193,0,0,0
217,1.480916,-3.343511,0.70229,-0.635498,0.022705,0.767944,0,0,0
220,1.221374,-3.587786,0.59542,-0.634888,0.019897,0.771362,0,0,0
223,1.038168,-3.725191,0.396947,-0.639038,0.017822,0.767944,0,0,0
226,1.129771,-3.832061,0.351145,-0.636475,0.020264,0.772461,0,0,0
229,0.870229,-4.076336,0.152672,-0.63623,0.021973,0.773926,0,0,0
232,0.80916,-4.137405,0,-0.633667,0.014282,0.771606,0,0,0
235,0.656489,-4.274809,-0.198473,-0.631348,0.021606,0.772217,0,0,0
238,0.366412,-4.305344,-0.198473,-0.634033,0.022949,0.770996,0,0,0
